filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
ukrainian(1).wav,0.3650365173816681,0.11084567755460739,2411.5113603460327,2226.62446004139,4402.28171333809,0.13397273485874614,-198.67794799804688,87.0551986694336,-33.57948684692383,-2.165692090988159,16.851781845092773,-11.065814018249512,-14.128397941589355,-2.9790518283843994,-23.839378356933594,-7.14599609375,-6.540994644165039,-2.5073087215423584,-3.7054784297943115,-1.4585517644882202,4.726848602294922,-0.4720054566860199,-7.447869777679443,2.976858377456665,-8.377455711364746,-1.3720672130584717,ukrainian
ukrainian(10).wav,0.38237518072128296,0.04930853098630905,2838.124640257724,2939.525021998371,6440.894386126161,0.1085174843991873,-341.1250305175781,54.98174285888672,3.8035919666290283,2.276243209838867,13.93936824798584,-11.157319068908691,-1.9873619079589844,-4.022040843963623,-3.919172525405884,1.2452473640441895,-15.487069129943848,-2.6675453186035156,-4.956550121307373,-4.62355375289917,0.037418801337480545,2.2114205360412598,-5.601045608520508,2.0440549850463867,-3.5719516277313232,-1.0643537044525146,ukrainian
ukrainian(100).wav,0.31166204810142517,0.05485282093286514,2372.8150428576364,2507.1205981232883,4851.195665483504,0.101130907749613,-309.4673156738281,83.03164672851562,4.206775665283203,6.517251491546631,2.9321937561035156,-11.731689453125,-1.8712825775146484,-4.776124000549316,-15.160287857055664,0.6077898740768433,-11.561158180236816,-5.0902910232543945,-4.56409215927124,-3.537445068359375,2.371208667755127,0.18073946237564087,-5.049600601196289,1.6240086555480957,-2.1901862621307373,-3.1733791828155518,ukrainian
ukrainian(101).wav,0.34732913970947266,0.06432347744703293,2082.4269379096695,2326.3589649697255,4127.350042478957,0.08379919093459752,-317.8353576660156,85.97201538085938,2.921785593032837,24.176454544067383,20.952144622802734,-13.397442817687988,5.922833442687988,-8.239424705505371,-13.694538116455078,2.8415706157684326,-13.314962387084961,-2.8003015518188477,-9.936711311340332,-1.7618217468261719,-3.142770290374756,-3.1303694248199463,-7.6032795906066895,1.7199772596359253,-7.104682445526123,-2.2850520610809326,ukrainian
ukrainian(102).wav,0.26458385586738586,0.1437988579273224,3166.5624606849688,2695.025576161987,6372.394800333785,0.16018005937983745,-120.49153137207031,40.285186767578125,-21.462467193603516,-13.308751106262207,-6.3951897621154785,-8.179964065551758,-15.343992233276367,1.1482857465744019,-17.300079345703125,-5.847225189208984,-12.393306732177734,-9.102714538574219,-11.208324432373047,0.021378178149461746,-4.031616687774658,-5.36113166809082,-6.230703353881836,1.7897952795028687,0.9504504203796387,6.482200622558594,ukrainian
ukrainian(103).wav,0.2945546805858612,0.115116648375988,2440.6456680924994,2599.3979861770295,5299.467954842299,0.09033807807662539,-255.1018829345703,67.39384460449219,-3.6774954795837402,3.862513780593872,4.693558692932129,-12.0629243850708,-3.4796321392059326,-7.542042255401611,-15.078582763671875,-2.4527695178985596,-12.959028244018555,-0.1863640695810318,-6.219151973724365,-8.59973430633545,-0.9202228784561157,-3.2339699268341064,-11.532267570495605,2.8328778743743896,-7.717599391937256,-4.5657806396484375,ukrainian
ukrainian(104).wav,0.2711164057254791,0.1442258656024933,2969.6938821869553,2623.51059339349,6121.9879811762285,0.13616357573045665,-141.09774780273438,50.60841369628906,-17.85483169555664,1.8045037984848022,-14.929935455322266,-33.95939636230469,-16.024150848388672,-7.0911664962768555,-39.38194274902344,18.093767166137695,-32.36856460571289,-2.6148712635040283,-7.23053503036499,-14.3834228515625,-3.3341407775878906,-10.4073486328125,-14.375849723815918,3.4319188594818115,-13.340435981750488,-3.214688539505005,ukrainian
ukrainian(105).wav,0.3508458733558655,0.1267181783914566,3031.3331680895635,2575.413887903597,5859.181236999323,0.16827638230456657,-144.8926544189453,63.615318298339844,-8.237070083618164,-9.205594062805176,-8.889824867248535,1.8252053260803223,-13.991307258605957,0.23918600380420685,-12.44884204864502,-4.983680248260498,-4.74458646774292,-1.5001015663146973,-6.476025104522705,-5.619709014892578,2.556612253189087,-3.4750568866729736,-12.364580154418945,3.416276454925537,-5.265046119689941,-4.137889385223389,ukrainian
ukrainian(106).wav,0.28399917483329773,0.08751464635133743,2571.674178384629,2449.271915439526,4959.603343290441,0.1357395420133514,-193.90797424316406,81.11906433105469,-11.0807523727417,-9.870759010314941,-10.363239288330078,-8.717913627624512,-11.772805213928223,-8.592368125915527,-21.376346588134766,1.185943365097046,-10.665894508361816,-4.7782464027404785,-7.690446376800537,-6.510548114776611,0.5499224066734314,-11.404196739196777,-4.653377056121826,1.3169052600860596,-11.357001304626465,-1.1033499240875244,ukrainian
ukrainian(107).wav,0.22935311496257782,0.13110259175300598,2257.2290213294295,2379.784893066744,4495.089485475522,0.09553910482778638,-209.49501037597656,73.25717163085938,-15.768799781799316,0.8493357300758362,-1.1351302862167358,-18.563167572021484,0.1752258837223053,-5.614280700683594,-18.766803741455078,3.7348685264587402,-12.198789596557617,-1.9059003591537476,-6.958034038543701,-5.517644882202148,0.6579042077064514,-6.514627456665039,-10.861065864562988,2.0704550743103027,-9.011454582214355,-8.519495010375977,ukrainian
ukrainian(108).wav,0.25576019287109375,0.14070121943950653,2515.534882991652,2539.3836679435394,5078.002627346169,0.10921097982778638,-172.50938415527344,63.76025390625,-9.015069007873535,16.144018173217773,18.787885665893555,-15.74232006072998,-23.05048942565918,0.19461899995803833,-12.680789947509766,-10.79446792602539,-3.4482316970825195,-14.512679100036621,-1.7842159271240234,-15.16988754272461,-19.529874801635742,5.606426239013672,-3.88136887550354,-11.451676368713379,2.814291000366211,-1.2720452547073364,ukrainian
ukrainian(109).wav,0.28360021114349365,0.14989252388477325,2721.443167783276,2407.5407326892987,5072.369328076626,0.13816998839009287,-180.78842163085938,53.36646270751953,-20.763992309570312,9.725029945373535,-1.7472375631332397,-17.67340850830078,-3.102769613265991,-12.623723983764648,-15.480523109436035,4.33068323135376,-9.874481201171875,-8.067361831665039,-9.780181884765625,-0.32963982224464417,-5.141913890838623,-6.750869274139404,-12.694650650024414,1.542615532875061,-10.500805854797363,-4.99357795715332,ukrainian
